Number,Depth,Measured value,Keras-Predicted value
187,2.736936045,0.744696516,1.8820328
188,8.594288343,4.077721375,7.8973126
189,6.258958761,15.67299066,1.3090824
190,6.258958761,14.76628069,8.045601
191,6.258958761,12.56434648,12.0602255
192,6.258958761,16.06159326,14.393145
193,2388.5,11.25962343,9.721703
194,19.01937778,0.363098546,9.74732
195,17.5,0.07460929,4.485513
196,350.9377288,0.535197308,3.3236737
197,60.96211796,1.85940881,4.273422
198,4.978483384,1.903077547,18.597673
199,56.44202091,5.051241416,2.5124002
200,17.91237274,2.314477904,2.733914
201,77.71748263,2.885637389,7.075125
202,4.340512,3.144863106,5.157988
203,3.91173472,0.099479054,3.1955552
204,77.144,0.706301281,0.23450716
205,78,0.770962666,2.0748935
206,8.452847833,4.414822432,6.477818
207,92.8,1.333327729,6.0202823
208,35.82283121,3.212942914,4.101174
209,93.38571429,0.151729242,0.8458782
210,19.99971437,2.076339838,2.7972445
211,56.7,0.327737138,7.8295436
212,25.00533743,1.517661465,4.609855
213,52.96930422,1.091868202,7.4851365
214,72.11836592,0.636039729,5.155021
215,3.281620736,30.38856484,29.65994
216,16.09101003,27.08193121,17.785072
217,0.287580763,6.290392157,2.1552815
218,4.150084858,6.964362745,1.3553165
219,0.248898535,5.391764706,4.457008
220,22.99114752,1.201643948,5.1107764
221,4,0.759543792,7.5458894
222,159.9597627,195.3391422,192.16699
223,26.20984062,63.04753386,55.30285
224,8.69682715,2.135182961,2.8594708
225,8.69682715,3.875466053,2.1231313
226,8.69682715,1.432770072,4.334933
227,4.772129497,0.25933229,6.797547
228,92.63125489,4197.410599,4191.0967
229,4.990115736,126.863124,117.70619
230,12.5,12.81018648,5.7738347
