Number,Depth,Measured value,RF-Predicted value
85,60,44.88824,52.30127964
86,60.96211796,1.85940881,9.582828893
87,63.588,0.396578991,71.97257574
88,63.588,0.279407925,78.81670515
89,63.588,0.730065869,52.28611566
90,65.64,104.0031651,610.6032755
91,68.96,84.65066354,326.1144417
92,72.11836592,0.636039729,20.25861657
93,77.144,0.706301281,37.14036368
94,77.71748263,2.885637389,98.66003669
95,78,0.770962666,81.12357237
96,92.63125489,4197.410599,176.2659906
97,92.8,1.333327729,23.12137538
98,93.38571429,0.151729242,28.30633383
99,93.68495074,272.5539152,422.4266199
100,100,9.208500773,245.0880767
101,120.2097505,1031.420894,367.4850123
102,131.44,38.37633568,223.8259013
103,138.75,92.04651952,147.0728566
104,159.9597627,195.3391422,14.93933748
105,168.8,47.8498845,85.51283795
106,169.5,2.013184188,52.29724889
107,205.125,0.241544361,56.25050683
108,253.6,278.7172282,582.7907438
109,311,31.32885055,78.98541254
110,350.9377288,0.535197308,23.31284122
111,353,70.36248901,63.40848728
112,413.7,55.70475565,217.9809682
113,487,81.5935123,184.8805058
114,503.6,38.07041686,59.8454838
115,627.9548224,0.47114054,22.63608781
116,627.9548224,0.353355405,27.0168949
117,667,146.8969175,229.719419
118,725,329.8306678,313.5960637
119,950,183.4879236,353.8122755
120,1025,228.0361757,257.9415909
121,1156,43.27170455,26.46942049
122,1207,12.7,76.78584291
123,1207,76.13179856,38.45021424
124,1273.700781,12.35612745,276.2207154
125,1354,4.3,35.36829198
126,1354,32.02162162,19.99719889
127,1355,5.5,85.69136153
128,1355,131.5146552,18.4531766
129,1356,25.64605433,68.0045583
130,1358,30.2,30.47112203
131,1370,103.9710495,41.70635477
132,1389,76.48746057,21.12414243
133,1389,14.10861183,47.35701129
134,1389,26.43472367,41.53444485
135,1391,20.66520833,36.21392522
136,1391,16.86520833,47.01170365
137,1392,14.97601246,29.02800791
138,1395,5.6,56.16127181
139,1395,5.5,53.35133663
140,1395,125.4225857,9.613879345
141,1401,4.6,35.87050594
142,1434,66.42873684,25.29502149
143,1445,18.01182353,30.17551127
144,1513,118.3852434,471.2790698
145,1513,13.03177083,39.30826182
146,1648,23.9398287,28.393519
147,1903,9.65455,34.43436573
148,1936,124.333331,146.9385115
149,1937,187.6560086,113.0971206
150,2100,45.19393566,196.7052086
151,2153,101.0470371,127.244882
152,2159,13.08214286,35.34837057
153,2200,17.5330538,64.34781543
154,2246,16.66406798,128.0124196
155,2246,165.1736844,42.68451654
156,2319,29.72217394,121.0679771
157,2360,51.82871286,84.63396393
158,2388.5,11.25962343,194.4157464
159,2407,67.69770408,233.2541067
160,2473,31.49014849,80.8630156
161,2475,506.7801575,73.8144892
162,2486,60.17112045,200.9893395
163,2512,72.4792611,39.61823381
164,2562,28.30247856,67.15765909
165,2562,81.67312999,85.64086225
166,2575,6.29375,46.8109643
167,2590,104.005598,171.0163646
168,2596,93.58634106,87.59345327
169,2635,62.13681606,58.08182226
170,2647,21.88331183,83.72704894
171,2652,19.39595502,106.8401939
172,2699,143.1004394,54.25629316
173,2728,11.46259,136.2645014
174,2800,20.54702428,53.50078058
175,2809,51.75408,21.97727958
176,2835,61.44183506,84.90330042
177,2843,200.6015705,61.10347059
178,2920,28.01077806,49.011412
179,2950,36.2520862,79.74604056
180,2994,63.13605591,76.21791292
181,3092,36.0590956,73.65846598
182,3240,34.71589571,71.61337482
183,3271,97.56278211,93.25796144
184,3316,48.42767296,59.96917181
185,3358,109.6833521,55.93358617
186,3954,25.81733653,87.30911191
187,4067,19.59025286,68.86887089
188,4225.001007,45.93146384,39.25253306
189,4249,136.5190507,117.3709932
190,4266,95.18884548,69.68439291
191,4303,87.06879526,69.36582551
192,4335,39.72282752,102.0863935
193,4360,258.4060464,102.915008
194,4439,88.64362765,58.6473804
195,4480,29.05733722,108.7073237
196,4540,77.93740653,102.7871527
197,4686,75.04293795,112.9181398
198,4832.760761,21.68643369,529.0279084
199,4963.597045,40.31632038,74.10677508
200,4967.165376,19.36564853,49.54421816
201,5052.563524,30.00532425,19.20879205
202,5053.833072,35.56215979,31.51822347
203,5054.518702,9.812047667,56.66148439
204,5074.862671,22.2877358,39.83122701
205,5094.398449,13.36902632,22.76385424
206,5103.903017,91.06645136,25.87617858
207,5109.630256,22.4346033,35.17740435
208,5146.276556,44.175448,28.97229395
209,5164.348696,40.4464,34.67690522
210,5168.602349,50.54264068,41.36425802
211,5169.396519,29.67598313,50.64553625
212,5216.091305,53.07344469,39.83715397
213,5225.672002,6.333231206,26.40184516
214,5256.068408,2.16315813,137.9914053
215,5377.657543,16.46562667,51.97269134
216,5400,23.23713351,191.3906593
217,5533,433.4280248,47.63709631
218,5678.531482,10.93914813,39.70849287
219,6706,121.9674667,104.8892261
220,6980,14.19438613,73.92746555
221,7022,73.07002054,68.93060715
222,7061,54.72827134,80.50727368
223,7121,100.372158,54.09287875
224,7143,74.43365891,107.0343137
225,7661.213943,0.945051009,107.4859319
226,10063,15.4613672,89.0265917
227,10900,165.8978631,37.57361355
228,10909,8.823529412,124.9339944
229,10909,147.4701246,55.8248567
230,10911,41.5443306,118.3865836
