Lon,Lat,Sort,uo,vo,VHM0,VMDR,VSDX,VSDY,THETA,SALT,VVEL,UVEL,Pressure,output,train
-153.8812561,9.219070611,5,0.100711,0.06592,1.908142,102.851416,-0.025575,0.000619,1.0501179,34.692528,0.016197652,-0.008595149,5128.426016,40.4464,TRUE
-153.9421539,9.141593944,5,0.11536,0.070803,1.907788,102.22885,-0.024602,0.000088,1.0501179,34.692528,0.016197652,-0.008595149,5128.414208,22.4346033,TRUE
-154.0046844,9.195721639,5,0.107425,0.072634,1.907788,102.22885,-0.024602,0.000088,1.0505004,34.692513,0.006682171,-0.019990519,5128.422447,30.00532425,TRUE
-154.0506287,9.136423111,5,0.100101,0.074465,1.907788,102.22885,-0.024602,0.000088,1.0505004,34.692513,0.006682171,-0.019990519,5128.413424,13.36902632,TRUE
-154.1175842,9.181229583,5,0.100101,0.074465,1.906195,101.410708,-0.025133,-0.000177,1.0505004,34.692513,0.006682171,-0.019990519,5128.420237,6.333231206,TRUE
-153.7964478,9.117154111,5,0.142827,0.073855,1.908142,102.851416,-0.025575,0.000619,1.0501179,34.692528,0.016197652,-0.008595149,5128.410504,44.175448,TRUE
-154.1298817,9.359888333,5,0.06653,0.06592,1.912832,100.142035,-0.028584,-0.00177,1.0495921,34.692543,-0.002126297,-0.014129545,5128.447723,91.06645136,TRUE
-172.63,67.87,1,-0.064699,0.034181,0.819204,198.049823,0.014602,-0.011416,2.30193305,32.76586914,0.027752182,-0.061906572,45.47868502,359.5848847,TRUE
-169.91,68.57,1,-0.117191,0.039064,0.90531,176.984602,0.004425,-0.012212,2.24419117,32.24905396,-0.001846868,-0.023204498,55.58879785,191.6822655,TRUE
-172.15,68.88,1,-0.084231,0.053102,0.834159,193.550796,0.009823,-0.007876,2.168002844,32.48022842,0.048803302,0.044347965,45.48159988,114.8830407,TRUE
-174.91,69.2,1,-0.025025,0.104984,0.758407,203.673894,0.008319,-0.001327,1.483573914,32.7160759,0.049191136,-0.021839367,45.48250048,48.05435865,TRUE
-173.21,69.71,1,-0.095218,0.135502,0.73708,207.85292,0.008407,-0.000265,0.452138692,32.78435135,0.0201354,-0.033816018,45.48391257,143.7349221,TRUE
-173.62,72.2,1,0.018311,-0.023804,0.606549,219.643363,0.014956,0.002478,-1.483826756,33.64727783,0.016109746,-0.002953005,45.49038284,565.2638799,TRUE
-177.48,69.59,1,-0.036012,0.018921,0.713982,211.609912,0.006903,0.000354,-0.766853392,33.13993835,0.019007316,0.005628852,45.4835829,190.2130497,TRUE
177.31,70.25,1,-0.010987,-0.020142,0.746637,214.530708,0.003717,-0.000708,-0.302625358,33.65591431,0.002405633,0.018741801,45.48537614,281.1559896,TRUE
174.34,70.13,1,0.242927,-0.054933,0.658053,217.429558,0.005221,-0.005664,2.510890245,32.08456421,0.004473853,0.028627966,15.16065761,421.343,TRUE
174.36,70.73,1,-0.020753,0.03235,0.740973,224.592212,0.006549,0.000885,0.423542887,32.77015305,0.024460096,0.014264559,35.37770618,83.17818298,TRUE
170.89,71.25,1,0.017701,0.012207,0.710088,221.558584,0.005841,-0.000354,0.678579092,31.54070473,0.01514805,-0.035062619,25.26996917,37.32148733,TRUE
